category	authors	title	venue	year	doi	url	local_pdf	notes
nk_platform_review	Gurney M, Kremer V, Khoruzhenko S, Sarkar S, O'Dwyer M	Feeder cells at the interface of natural killer cell activation, expansion and gene editing	Front Immunol	2022	10.3389/fimmu.2022.802906	https://pmc.ncbi.nlm.nih.gov/articles/PMC8873083/	no_open_pdf_added	Compares EBV-LCL vs K562.mbIL21.4-1BBL; states mbIL21 enhances NK metabolism via STAT3/cMyc; discusses why feeder stimulation is required for clinical-scale editing
nk_platform_clinical	Ciurea SO, Schafer JR, Bassett R, ... Lee DA, Champlin RE	Phase 1 clinical trial using mbIL21 ex vivo-expanded donor-derived NK cells after haploidentical transplantation	Blood	2017	10.1182/blood-2017-05-785659	https://doi.org/10.1182/blood-2017-05-785659	no_open_pdf_added	Clinical validation of the mbIL21 feeder platform
nk_platform_clinical	Ciurea SO, Kongtim P, Soebbing D, ... Lee DA	Decrease post-transplant relapse using donor-derived expanded NK cells	Leukemia	2021	10.1038/s41375-021-01349-4	https://doi.org/10.1038/s41375-021-01349-4	no_open_pdf_added	Follow-on clinical outcome data for mbIL21-expanded NK
nk_edits	Naeimi Kararoudi M, Nagai Y, Elmas E, ... Lee DA, Ghiaur G	CD38 deletion of human primary NK cells eliminates daratumumab-induced fratricide and boosts their effector activity	Blood	2020	10.1182/blood.2020006200	https://pubmed.ncbi.nlm.nih.gov/32603414/	no_open_pdf_added	Antigen-loss-KO logic later reused for CD70 in the gdT patent
nk_edits	Troy E, Caporale J, Sezgin Y, ... Lee DA, Naeimi Kararoudi M	CD38-CAR human NK cells in combination with ATRA enhance cytotoxicity against CD38-expressing hematologic malignancies	Blood Neoplasia	2024	10.1016/j.bneo.2024.100032	https://pmc.ncbi.nlm.nih.gov/articles/PMC12182859/	no_open_pdf_added	Methods restate the FC21 workflow: FC21 stimulation, electroporation d7, restimulation with FC21 1:1 every 7 d
nk_edits	Hasan MF, Campbell AR, ... Naeimi Kararoudi M, Tullius BP, Lee DA, Copik AJ	Knockout of the inhibitory receptor TIGIT enhances the antitumor response of ex vivo expanded NK cells and prevents fratricide with Fc-active TIGIT antibodies	J Immunother Cancer	2023	10.1136/jitc-2023-007502	https://pubmed.ncbi.nlm.nih.gov/38081778/	no_open_pdf_added	Relevant to the TIGIT-high phenotype seen on mbIL21-expanded gdT cells
nk_ip	Lee DA, Naeimi Kararoudi M, et al.	Generation of CD38 knock-out primary and expanded human NK cells (CA3156509A1 / family)	WIPO/CA/EP/US	2021	n/a	https://patents.google.com/patent/CA3156509A1/en	no_open_pdf_added	Patent family for the CD38 KO NK product
nk_ip	Campbell A, Lee D, Naeimi Kararoudi M	Use of the TIGIT gene locus as a CAR integration site (TS-004607 / WO2026085461A1)	WIPO PCT	2026	n/a	https://patents.google.com/patent/WO2026085461A1/en	no_open_pdf_added	Checkpoint-KO-as-integration-site strategy; obvious next move for gdT products
nk_ip	Lee D, Naeimi Kararoudi M, Sorathia K	Genetic deletion of ADAM17 to preserve ADCC of cryopreserved NK cells (TS-003705)	NCH Tech Transfer listing	n/a	n/a	https://nch.innovatehosted.com/available_technologies/?search=Naeimi+Kararoudi%2C+Meisam	no_open_pdf_added	Cryopreservation/CD16 shedding; relevant to off-the-shelf product form
nk_ip	Naeimi Kararoudi M	HLA downregulation in allogeneic cell therapies to enhance persistence using an integrated shRNA-targeting approach (TS-005768)	NCH Tech Transfer listing	n/a	n/a	https://nch.innovatehosted.com/available_technologies/?search=Naeimi+Kararoudi%2C+Meisam	no_open_pdf_added	Sole-inventor listing; allogeneic persistence while preserving NK missing-self inhibition
nk_ip	Lee DA, Naeimi Kararoudi M	Methods of targeting glycogen synthase kinase 3 beta in NK cells (WO2024155711A1)	WIPO PCT	2024	n/a	https://patents.google.com/patent/WO2024155711A1/en	no_open_pdf_added	IP counterpart of the Cancers 2023 GSK3b paper
gdT_field_platform	Almeida AR, Correia DV, Fernandes-Platzgummer A, ... Silva-Santos B	Delta One T cells for immunotherapy of CLL: clinical-grade expansion/differentiation and preclinical proof of concept	Clin Cancer Res	2016	10.1158/1078-0432.CCR-16-0597	https://doi.org/10.1158/1078-0432.CCR-16-0597	no_open_pdf_added	DOT protocol: feeder-free two-step, anti-CD3 agonist + IL-4/IL-15/IFN-g/IL-21 then IL-15; 2-3 wk; ~2,000-fold; NKp30/NKp44+ Vd1; persisted in vivo "without signs of loss of function". COUNTER-EXAMPLE to a strict short-TCR rule
gdT_field_platform	Ferry GM, et al. (GammaDelta Therapeutics)	A simple and robust single-step method for CAR-Vd1 gdT cell expansion and transduction for cancer immunotherapy	Front Immunol	2022	10.3389/fimmu.2022.863155	https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2022.863155/full	no_open_pdf_added	One-step OKT-3 + IL-15 only, ab/CD56-depleted PBMC; stable CAR transduction; no alloreactivity
gdT_field_platform	Deniger DC, Maiti SN, Mi T, ... Cooper LJN	Activating and propagating polyclonal gamma delta T cells with broad specificity for malignancies	Clin Cancer Res	2014	10.1158/1078-0432.CCR-13-3451	https://pmc.ncbi.nlm.nih.gov/articles/PMC4233015/	no_open_pdf_added	K562 aAPC clone 4 (CD19/CD64/CD86/4-1BBL/mbIL15) + IL-2 + IL-21. Proliferation DEPENDED on CD137L; in vivo potency polyclonal > Vd1 > Vd1negVd2neg > Vd2. Direct antecedent of the mbIL21 feeder approach for gdT
gdT_field_platform	Fisher JPH, Yan M, Heuijerjans J, ... Anderson J	Neuroblastoma killing properties of Vd2 and Vd2-negative gdT cells following expansion by artificial antigen presenting cells	Clin Cancer Res	2014	10.1158/1078-0432.CCR-13-3464	https://doi.org/10.1158/1078-0432.CCR-13-3464	no_open_pdf_added	aAPC expansion of Vd2neg gdT; cited by Portillo as evidence that a gdTCR agonist did not increase yield across donors early in expansion
gdT_exhaustion	(BCG vs zoledronic acid study)	Bacillus Calmette-Guerin induces superior anti-tumour responses by Vd2+ T cells compared with the aminobisphosphonate drug zoledronic acid	Clin Exp Immunol	2022	10.1093/cei/uxac032	https://openaccess.sgul.ac.uk/id/eprint/114285/9/uxac032.pdf	no_open_pdf_added	KEY EXHAUSTION EVIDENCE: ZA expansion upregulates PD-1, TIM-3, TIGIT, LAG-3 and CD57 dose-dependently and reduces killing; HKBCG expansion does not raise PD-1
gdT_exhaustion	Kobayashi H, Tanaka Y, et al.	Zoledronic acid-induced expansion of gdT cells from early-stage breast cancer patients: effect of IL-18 on helper NK cells	Cancer Immunol Immunother	2013	10.1007/s00262-012-1368-4	https://pmc.ncbi.nlm.nih.gov/articles/PMC3639312/	no_open_pdf_added	In vivo: frequent Zol treatment DECREASED Vg2Vd2 numbers and reduced ex vivo responsiveness. Clinical correlate of burning out the TCR arm
gdT_exhaustion	(review)	From ex vivo to in vitro models: towards a novel approach to investigate the efficacy of immunotherapies on exhausted Vg9Vd2 T cells?	Front Immunol	2025	10.3389/fimmu.2025.1556982	https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1556982/full	no_open_pdf_added	Treats exhausted Vg9Vd2 cells as a defined entity worth modelling and targeting
gdT_tcr_independent	Schilbach K, Welker C, Krickeberg N, Kaisser C, Schleicher S, Hashimoto H	In the absence of a TCR signal IL-2/IL-12/18-stimulated gdT cells demonstrate potent anti-tumoral function through direct killing and senescence induction in cancer cells	Cancers (Basel)	2020	10.3390/cancers12010130	https://doi.org/10.3390/cancers12010130	no_open_pdf_added	Proof that gdT effector function does not require TCR engagement
cytokine_mechanism	Hinrichs CS, Spolski R, Paulos CM, ... Leonard WJ, Restifo NP	IL-2 and IL-21 confer opposing differentiation programs to CD8+ T cells for adoptive immunotherapy	Blood	2008	10.1182/blood-2007-09-113050	https://pmc.ncbi.nlm.nih.gov/articles/PMC2396726/	no_open_pdf_added	IL-2 -> Eomes/granzyme B/terminal effector, worse after transfer; IL-21 -> L-selectin-high, less differentiated, better tumor regression. Mechanistic backing for STAT3-biased expansion
cytokine_mechanism	(review)	New insights into the stemness of adoptively transferred T cells by gc family cytokines	Cell Commun Signal	2023	10.1186/s12964-023-01354-3	https://link.springer.com/article/10.1186/s12964-023-01354-3	no_open_pdf_added	Maps IL-2/IL-15 -> STAT5 (terminal differentiation at high strength) vs IL-21 -> STAT1/STAT3 -> TCF1/CD62L/CD95 (Tscm-like)
gdT_field_context	Sebestyen Z, Prinz I, Dechanet-Merville J, Silva-Santos B, Kuball J	Translating gammadelta (gd) T cells and their receptors into cancer cell therapies	Nat Rev Drug Discov	2019	10.1038/s41573-019-0038-z	https://doi.org/10.1038/s41573-019-0038-z	no_open_pdf_added	Field-level review; context for why pAg/Vd2 trials underperformed
gdT_field_context	Wu Y, Biswas D, Usaite I, ... Hayday AC	A local human Vd1 T cell population is associated with survival in non-small-cell lung cancer	Nat Cancer	2022	10.1038/s43018-022-00376-z	https://doi.org/10.1038/s43018-022-00376-z	no_open_pdf_added	Prognostic rationale for choosing Vd1 over Vd2
gdT_field_context	Caporale JR, Naeimi Kararoudi M, Lamb MG, Lee DA	Dark NKnight rising: a current perspective on NK cell and CAR-NK cell therapy	Cytotherapy	2025	10.1016/j.jcyt.2025.04.064	https://pubmed.ncbi.nlm.nih.gov/40459488/	no_open_pdf_added	His own recent review of the NK/CAR-NK field
gdT_field_context	Elmas E, Saljoughian N, de Souza Fernandes Pereira M, Tullius BP, Sorathia K, Nakkula RJ, Lee DA, Naeimi Kararoudi M	CRISPR gene editing of human primary NK and T cells for cancer immunotherapy	Front Oncol	2022	10.3389/fonc.2022.834002	https://pmc.ncbi.nlm.nih.gov/articles/PMC9016158/	no_open_pdf_added	His review of editing methods across NK and T cells
