chr1	start1	end1	chr2	start2	end2	CD19_rep1_RawCC	CD19_rep2_RawCC	HA_rep1_RawCC	HA_rep2_RawCC	logFC	PValue	FDR
chr1	6170000	6180000	chr1	6190000	6200000	0	31	0	0	-7.26435840830366	1.38578899169051e-06	0.003383683679126
chr1	7970000	7980000	chr1	8000000	8010000	63	0	120	142	1.77797270682779	2.28387769231156e-06	0.00503094702599779
chr1	7980000	7990000	chr1	8000000	8010000	60	0	176	156	2.19215372770911	6.25778088117128e-09	3.38368508795071e-05
chr1	8270000	8280000	chr1	8290000	8300000	0	0	36	30	7.88831281189246	7.5965429732214e-10	5.38680670696868e-06
chr1	8620000	8630000	chr1	8720000	8730000	0	0	37	49	8.26104572790183	3.07586505275668e-12	4.15932379435307e-08
chr1	8620000	8630000	chr1	8730000	8740000	0	0	40	28	7.93404629398819	4.0568311865967e-10	3.09012631164125e-06
chr1	8630000	8640000	chr1	8720000	8730000	0	0	14	38	7.52786686877626	5.08047927857009e-08	0.000205611240777192
chr1	8640000	8650000	chr1	8720000	8730000	0	0	20	30	7.48018453980007	9.40637254952273e-08	0.00035064925596838
chr1	8700000	8710000	chr1	8720000	8730000	0	0	80	74	9.10565048756023	7.68026996838879e-18	4.36078362678771e-13
chr1	8940000	8950000	chr1	8970000	8980000	0	59	155	163	1.97756444654052	3.127171334814e-07	0.000971136870265574
chr1	8940000	8950000	chr1	8990000	9000000	0	45	107	127	1.9301799778429	3.36311352110276e-06	0.00697797347511132
chr1	8970000	8980000	chr1	8990000	9000000	0	0	191	194	10.4244112502338	1.16058527182975e-32	9.94062027697253e-27
chr1	8970000	8980000	chr1	9050000	9060000	0	0	93	0	8.41197720304339	4.49511395823309e-12	5.76620412514571e-08
chr1	11780000	11790000	chr1	11800000	11810000	203	134	79	65	-1.56112698973888	8.88342937573283e-06	0.0154945560361997
chr1	12110000	12120000	chr1	12130000	12140000	0	57	144	151	1.91991087001304	1.02353612639129e-06	0.00264160907207917
chr1	12170000	12180000	chr1	12270000	12280000	33	35	0	0	-8.29444090681853	4.68405196877566e-12	5.95022999787637e-08
chr1	12190000	12200000	chr1	12270000	12280000	70	57	0	37	-2.14645207805611	1.6185413318584e-06	0.00377485344178678
chr1	12340000	12350000	chr1	12680000	12690000	0	0	38	0	7.12489305761463	2.2643840638665e-06	0.00499597835819137
chr1	12350000	12360000	chr1	12380000	12390000	0	0	31	31	7.79549217258888	2.664173022558e-09	1.61447922647783e-05
chr1	12350000	12360000	chr1	12480000	12490000	0	0	31	19	7.49447428223353	7.148744298212e-08	0.000276368271431752
chr1	12350000	12360000	chr1	12590000	12600000	0	0	19	36	7.61332992957141	1.93305161831475e-08	8.93017938770126e-05
chr1	12350000	12360000	chr1	12680000	12690000	0	0	31	49	8.15419643469535	1.79277801687286e-11	1.96009455165018e-07
chr1	12380000	12390000	chr1	12560000	12570000	0	0	41	22	7.82841525109666	1.50621724844374e-09	9.7015669867545e-06
chr1	12380000	12390000	chr1	12590000	12600000	0	0	34	31	7.86489540558903	1.04122155672469e-09	7.08635147976983e-06
chr1	12380000	12390000	chr1	12680000	12690000	0	0	36	0	7.04735183725475	4.45076363291679e-06	0.00873197787739818
chr1	12450000	12460000	chr1	12560000	12570000	24	0	63	59	2.04175856784471	1.56531041530195e-05	0.0246252953550105
chr1	12450000	12460000	chr1	12680000	12690000	17	0	48	60	2.34525987880625	5.95167303837175e-06	0.011376891104145
chr1	12470000	12480000	chr1	12490000	12500000	247	172	621	662	1.27018888418884	3.38905202025462e-05	0.0455239849194357
chr1	12470000	12480000	chr1	12560000	12570000	0	0	57	62	8.73158836475265	1.63136637790015e-14	4.47058131880987e-10
chr1	12470000	12480000	chr1	12590000	12600000	0	0	51	44	8.41143050604559	4.53219352399775e-12	5.80494824842035e-08
chr1	12470000	12480000	chr1	12680000	12690000	0	0	69	43	8.65379054222145	7.58663192236853e-14	1.8209548564535e-09
chr1	12480000	12490000	chr1	12550000	12560000	0	0	52	46	8.45573905881811	2.04225188081429e-12	3.00708069055228e-08
chr1	12480000	12490000	chr1	12560000	12570000	0	0	70	66	8.92631192918951	3.46323776468933e-16	1.408491577449e-11
chr1	12480000	12490000	chr1	12590000	12600000	0	0	68	79	9.03462833332939	3.06174092667729e-17	1.5311115992079e-12
chr1	12480000	12490000	chr1	12680000	12690000	0	0	58	44	8.51590377007243	8.52735666740157e-13	1.47583907697414e-08
chr1	12490000	12500000	chr1	12520000	12530000	298	184	665	786	1.25144605058874	3.76262517469e-05	0.0484146446313343
chr1	12490000	12500000	chr1	12560000	12570000	112	75	320	325	1.44348185996281	1.32426748882608e-05	0.0213002086787314
chr1	12490000	12500000	chr1	12590000	12600000	79	50	251	249	1.6137722348509	2.96225787913951e-06	0.00637391952270667
chr1	12500000	12510000	chr1	12590000	12600000	77	29	161	211	1.4884114581612	2.67666620971446e-05	0.0369104871047088
chr1	12510000	12520000	chr1	12580000	12590000	84	46	217	278	1.59066431629799	3.95525855250235e-06	0.00808121773727059
chr1	12520000	12530000	chr1	12580000	12590000	38	38	159	150	1.65921105961776	9.99796152146978e-06	0.0171954436027043
chr1	12520000	12530000	chr1	12590000	12600000	57	19	141	157	1.6517187666489	8.09448757997268e-06	0.0145685359746572
chr1	12550000	12560000	chr1	12580000	12590000	35	0	78	85	1.92524046209324	9.52187739999885e-06	0.016425948493858
chr1	12550000	12560000	chr1	12590000	12600000	0	0	66	80	9.02405538720666	3.89518500755152e-17	1.91185810376402e-12
chr1	12560000	12570000	chr1	12580000	12590000	67	0	176	180	2.13471770186058	8.90702939005967e-09	4.60110873240388e-05
chr1	12560000	12570000	chr1	12590000	12600000	0	0	131	175	10.0881855745099	1.9123426613858e-28	8.36781699709256e-23
chr1	12560000	12570000	chr1	12640000	12650000	0	0	29	38	7.90243919518079	5.76488954935588e-10	4.17098047737809e-06
chr1	12580000	12590000	chr1	12630000	12640000	19	0	47	57	2.13669840872547	3.05666919131559e-05	0.0414799643462415
chr1	12590000	12600000	chr1	12610000	12620000	0	0	177	176	10.2997165786514	3.46487952572004e-31	2.14589797302192e-25
chr1	12590000	12600000	chr1	12620000	12630000	31	0	103	90	2.34103806422016	7.19546734560266e-08	0.000277694545032574
chr1	12590000	12600000	chr1	12640000	12650000	0	0	38	38	8.08803977273526	4.58944346977438e-11	4.5051011150943e-07
chr1	15950000	15960000	chr1	16270000	16280000	3	1	28	30	3.4441878070278	1.5225724111594e-05	0.0241159870389726
chr1	16120000	16130000	chr1	16280000	16290000	0	0	46	0	7.39909033715978	1.94665541737205e-07	0.000647320262374143
chr1	16140000	16150000	chr1	16280000	16290000	0	0	71	0	8.02323443228799	1.16251461500434e-10	1.01639268291313e-06
chr1	16140000	16150000	chr1	16310000	16320000	0	0	34	0	6.96537906629193	8.63651603047098e-06	0.015090695157693
chr1	16160000	16170000	chr1	16280000	16290000	52	28	140	178	1.65013546781698	8.79478445270176e-06	0.0153499168937644
chr1	16170000	16180000	chr1	16270000	16280000	39	26	118	144	1.66009127759399	1.61765605232375e-05	0.0254041164256076
chr1	16240000	16250000	chr1	16270000	16280000	68	46	188	227	1.515555338542	1.64187162283772e-05	0.0257242371041228
chr1	16250000	16260000	chr1	16270000	16280000	73	54	275	293	1.81042981301988	1.53365309630203e-07	0.000526336406536977
chr1	16260000	16270000	chr1	16280000	16290000	0	0	152	189	10.245603871011	1.76237234828188e-30	1.01352372084334e-24
chr1	16270000	16280000	chr1	16290000	16300000	201	132	645	765	1.73873207213206	2.27572216787583e-08	0.000103986657588589
chr1	16270000	16280000	chr1	16300000	16310000	85	60	311	374	1.88989950654434	2.31962946293979e-08	0.000105872780424174
chr1	16270000	16280000	chr1	16310000	16320000	53	41	216	228	1.88609515352554	1.43484522991555e-07	0.000494534395743652
chr1	16280000	16290000	chr1	16300000	16310000	98	77	348	363	1.66974218461067	4.79313284054484e-07	0.00139984028797257
chr1	16930000	16940000	chr1	16950000	16960000	0	0	30	38	7.924276643448	4.233200985747e-10	3.18469777930418e-06
chr1	16930000	16940000	chr1	16960000	16970000	0	0	34	36	7.96889240985816	2.81059966558961e-10	2.24582087617828e-06
chr1	17490000	17500000	chr1	17510000	17520000	20	30	0	9	-2.83460601860395	2.32920750859592e-05	0.0336149239827913
chr1	19750000	19760000	chr1	19770000	19780000	28	0	75	69	2.06349481788053	4.97951324475136e-06	0.00971677063573504
chr1	19760000	19770000	chr1	19800000	19810000	0	38	91	94	1.84072209075203	2.63991630045879e-05	0.0364274244748102
chr1	19780000	19790000	chr1	19800000	19810000	0	84	163	171	1.5283377707865	3.74141648469253e-05	0.0481646682515388
chr1	21310000	21320000	chr1	21330000	21340000	0	0	26	49	8.05870597935732	8.01333281628515e-11	7.46212006443517e-07
chr1	21540000	21550000	chr1	21560000	21570000	0	0	0	55	7.59043601642017	2.61139161451506e-08	0.000116174956708313
chr1	21560000	21570000	chr1	21580000	21590000	33	23	119	129	1.79506927118838	5.42063453008088e-06	0.0104679510054052
chr1	21560000	21570000	chr1	21590000	21600000	0	0	28	30	7.69858652663695	7.36898564832091e-09	3.87724992437494e-05
chr1	21590000	21600000	chr1	21640000	21650000	0	0	33	22	7.6300045959035	1.82896972146289e-08	8.640726083431e-05
chr1	22060000	22070000	chr1	22080000	22090000	0	0	0	62	7.76213383054009	3.77813165609277e-09	2.1755650480966e-05
chr1	23390000	23400000	chr1	23410000	23420000	35	0	0	0	-7.22815319973418	1.80482739155556e-06	0.00417681777038079
chr1	23840000	23850000	chr1	23860000	23870000	70	67	0	39	-2.18993971789432	7.22491842724125e-07	0.00197856307945095
chr1	23870000	23880000	chr1	23950000	23960000	0	0	37	0	7.08665005347708	3.18732066072901e-06	0.00663100073422902
chr1	23870000	23880000	chr1	23960000	23970000	0	0	57	0	7.70724982259301	7.16618739896338e-09	3.81290611203259e-05
chr1	24020000	24030000	chr1	24040000	24050000	0	0	75	68	8.99927173750944	6.44418110795804e-17	3.01299820793886e-12
chr1	24520000	24530000	chr1	24640000	24650000	0	0	16	35	7.50294297085364	6.93446247949575e-08	0.000268832896082265
chr1	24600000	24610000	chr1	24640000	24650000	0	0	36	30	7.88831281189246	7.5965429732214e-10	5.38680670696868e-06
chr1	24620000	24630000	chr1	24640000	24650000	0	0	36	17	7.58196406804814	2.70082792436422e-08	0.000119636275533341
chr1	24640000	24650000	chr1	24700000	24710000	0	0	34	33	7.90740069757764	5.64340332857758e-10	4.12534525426459e-06
chr1	25860000	25870000	chr1	25880000	25890000	53	56	23	0	-2.58015885450587	1.61202163688721e-07	0.000551304826283987
chr1	25940000	25950000	chr1	25960000	25970000	119	97	48	31	-1.79451454184625	2.38438088084403e-06	0.0052405791345685
chr1	25940000	25950000	chr1	25980000	25990000	60	53	22	16	-1.91865971829253	2.46180511817124e-05	0.0351330345472353
chr1	25950000	25960000	chr1	26120000	26130000	51	31	9	9	-2.50687146230253	3.56576397948775e-06	0.0073790472995431
chr1	26520000	26530000	chr1	26540000	26550000	65	69	23	0	-2.87891166401975	1.88828315969886e-09	1.20011633869769e-05
chr1	26680000	26690000	chr1	26710000	26720000	154	91	54	0	-2.48474249477095	3.55693198078004e-10	2.74782312752168e-06
chr1	26690000	26700000	chr1	26710000	26720000	451	298	165	208	-1.34808155908456	1.86703698208464e-05	0.0277435589470205
chr1	27750000	27760000	chr1	27770000	27780000	0	0	95	0	8.44264391866652	2.62395871979308e-12	3.67903270182957e-08
chr1	27750000	27760000	chr1	27800000	27810000	0	0	55	52	8.58103246180962	2.37026473532228e-13	4.98788202170118e-09
chr1	28790000	28800000	chr1	28820000	28830000	0	0	40	30	7.97459501231261	2.21355070530472e-10	1.80055465346507e-06
chr1	30140000	30150000	chr1	30180000	30190000	7	3	58	64	3.23728738690103	1.17705965212914e-08	5.85061286040159e-05
chr1	30150000	30160000	chr1	30180000	30190000	18	8	99	92	2.53297578932523	2.54962183609094e-08	0.000115080227760245
chr1	30160000	30170000	chr1	30180000	30190000	30	29	152	174	2.099194559612	4.08646306753778e-08	0.000170791161383143
chr1	30180000	30190000	chr1	30200000	30210000	23	15	113	110	2.20208998633981	1.37171837401532e-07	0.000487381829202186
chr1	30180000	30190000	chr1	30210000	30220000	16	10	80	97	2.40907810285277	1.44575746053148e-07	0.000497231131043929
chr1	30180000	30190000	chr1	30220000	30230000	6	9	76	71	2.90859075221334	1.35390766301208e-08	6.64177998450299e-05
chr1	30180000	30190000	chr1	30230000	30240000	9	10	83	78	2.70878387414979	3.70387095135057e-08	0.000156605701432299
chr1	30180000	30190000	chr1	30240000	30250000	5	4	48	50	3.06078112569099	5.06241356309209e-07	0.00146995269486762
chr1	30180000	30190000	chr1	30250000	30260000	8	12	77	75	2.54353758038277	2.03658698035929e-07	0.000668942052226803
chr1	30180000	30190000	chr1	30260000	30270000	10	8	81	72	2.72219837857667	3.58944312862399e-08	0.000152488226041105
chr1	30180000	30190000	chr1	30270000	30280000	5	4	40	39	2.75195822357495	1.85822056784986e-05	0.0276765806048925
chr1	30180000	30190000	chr1	30310000	30320000	4	6	46	56	2.95467701665463	4.52596989041652e-07	0.00132778736873903
chr1	31470000	31480000	chr1	31510000	31520000	0	0	37	34	7.99163615871516	2.05177087670052e-10	1.7016347261833e-06
chr1	31470000	31480000	chr1	31520000	31530000	0	0	94	87	9.33834967443755	5.15234122014852e-20	4.43241801594974e-15
chr1	31490000	31500000	chr1	31520000	31530000	0	0	89	120	9.53874434887506	4.75556936407193e-22	6.19552806516711e-17
chr1	31500000	31510000	chr1	31520000	31530000	39	0	110	142	2.39415776487649	3.93494355138177e-09	2.24849432910194e-05
chr1	32320000	32330000	chr1	32340000	32350000	0	0	49	0	7.48984594264105	7.28280845707613e-08	0.000279218298478983
chr1	32370000	32380000	chr1	32390000	32400000	233	0	382	404	1.51242624607841	2.3756190757964e-06	0.00522303272669282
chr1	32460000	32470000	chr1	32490000	32500000	0	0	27	35	7.79122513503906	2.70948248801567e-09	1.62991405053205e-05
chr1	32620000	32630000	chr1	32720000	32730000	0	0	43	38	8.1817153540984	1.27352381553046e-11	1.45936258799008e-07
chr1	32650000	32660000	chr1	32720000	32730000	55	0	85	142	1.75736841775591	6.59779320782023e-06	0.012132423105413
chr1	32690000	32700000	chr1	32720000	32730000	0	0	176	201	10.3918844639551	2.98015316681904e-32	2.39940118271088e-26
chr1	32690000	32700000	chr1	32770000	32780000	0	0	0	35	6.94358424690483	8.9193360342632e-06	0.0155101435839979
chr1	32720000	32730000	chr1	32770000	32780000	0	0	107	113	9.61708872601182	6.27684794479582e-23	9.35862685162969e-18
chr1	32720000	32730000	chr1	32830000	32840000	0	0	51	86	8.92683166713355	3.46381877158855e-16	1.408491577449e-11
chr1	32720000	32730000	chr1	32870000	32880000	0	0	27	48	8.05960370701711	6.46569141265356e-11	6.07149689393193e-07
chr1	33400000	33410000	chr1	33470000	33480000	0	0	34	35	7.94868586941367	3.07236884424368e-10	2.39647984497734e-06
chr1	33420000	33430000	chr1	33450000	33460000	49	27	143	175	1.72330023486791	3.47319029123776e-06	0.00719746366976043
chr1	33470000	33480000	chr1	33490000	33500000	0	0	0	73	7.996410522683	1.62468440688873e-10	1.36656598153805e-06
chr1	38030000	38040000	chr1	38050000	38060000	39	0	93	113	2.10666518609653	4.28273715043717e-07	0.00126148622856977
chr1	38290000	38300000	chr1	38310000	38320000	0	0	50	55	8.55128037876858	4.03505369339238e-13	7.88526666987668e-09
chr1	39440000	39450000	chr1	39460000	39470000	67	40	0	0	-8.91465167086675	5.33188687985052e-17	2.5311586211887e-12
chr1	39460000	39470000	chr1	39480000	39490000	55	0	0	0	-7.8735034418653	2.24520934537356e-09	1.38138332230682e-05
chr1	39740000	39750000	chr1	39790000	39800000	0	0	34	29	7.8210956751822	1.92946625803905e-09	1.22012644835293e-05
chr1	39760000	39770000	chr1	39790000	39800000	0	0	33	49	8.19069615067752	9.92084149316341e-12	1.15593854771315e-07
chr1	39770000	39780000	chr1	39790000	39800000	0	0	28	53	8.16922007959644	1.35533196751214e-11	1.52745533306376e-07
chr1	40610000	40620000	chr1	40780000	40790000	0	0	42	35	8.10987619029795	3.35855909599715e-11	3.43678944785343e-07
chr1	40680000	40690000	chr1	40700000	40710000	32	34	0	0	-8.25157720022136	8.79776535473963e-12	1.04535369941151e-07
chr1	40800000	40810000	chr1	40860000	40870000	84	51	203	260	1.43484802725271	3.18771079709942e-05	0.0430767269787531
chr1	40800000	40810000	chr1	40910000	40920000	20	18	86	96	1.89513918767112	1.22352413372886e-05	0.0200295244299111
chr1	41200000	41210000	chr1	41230000	41240000	23	0	58	55	1.99186828335563	3.72692387323313e-05	0.0479934469770608
chr1	41780000	41790000	chr1	41810000	41820000	2	0	37	25	4.47651811141772	1.30684886690587e-07	0.000466060881597956
chr1	41790000	41800000	chr1	41810000	41820000	18	0	56	54	2.29592985222964	6.82919337551404e-06	0.0125453285776417
chr1	42040000	42050000	chr1	42110000	42120000	11	0	35	48	2.57496138071179	1.50026095580309e-05	0.0238122521490101
chr1	42050000	42060000	chr1	42100000	42110000	6	0	30	33	3.02301386217783	2.90545361685626e-05	0.0397009363750027
chr1	42080000	42090000	chr1	42100000	42110000	16	0	78	69	2.87578771602001	7.02922076885551e-09	3.75641445912796e-05
chr1	42100000	42110000	chr1	42120000	42130000	55	45	197	198	1.62658544620938	5.64777884928178e-06	0.010865938902767
chr1	42100000	42110000	chr1	42130000	42140000	27	30	115	119	1.66664211800906	2.68116876722019e-05	0.0369675108711843
chr1	42120000	42130000	chr1	42210000	42220000	24	24	108	98	1.73732718287056	2.75755152175927e-05	0.0379634525588929
chr1	42360000	42370000	chr1	42380000	42390000	139	90	53	46	-1.54403013514694	3.42018111350108e-05	0.0458415592312033
chr1	43760000	43770000	chr1	43790000	43800000	13	0	37	51	2.42596051206478	2.0987962643198e-05	0.0307974979978085
chr1	44260000	44270000	chr1	44300000	44310000	0	0	23	33	7.64347814315892	1.39324682597367e-08	6.74041797023399e-05
chr1	44280000	44290000	chr1	44300000	44310000	0	0	64	46	8.62549412989186	1.06665350222435e-13	2.4494903621069e-09
chr1	44300000	44310000	chr1	44320000	44330000	0	0	55	79	8.89765872517742	5.90309707964674e-16	2.2740390726437e-11
chr1	44300000	44310000	chr1	44330000	44340000	0	0	47	50	8.43783882177416	3.27726342816214e-12	4.42423309301343e-08
chr1	44480000	44490000	chr1	44500000	44510000	0	30	0	0	-7.21718528362287	2.01225008159604e-06	0.00461282520640954
chr1	45970000	45980000	chr1	46020000	46030000	0	0	0	83	8.18065215608041	1.04529760605894e-11	1.21197741447853e-07
chr1	45970000	45980000	chr1	46030000	46040000	0	0	0	57	7.6416199944173	1.39861412950169e-08	6.75088362412532e-05
chr1	46000000	46010000	chr1	46020000	46030000	0	0	102	118	9.61541480950017	7.29388187268436e-23	1.07393479429402e-17
chr1	46950000	46960000	chr1	46980000	46990000	24	0	64	54	1.99595980345967	2.88462235055132e-05	0.0394417288619636
chr1	46960000	46970000	chr1	46980000	46990000	24	0	65	75	2.23501816803199	1.65460296652816e-06	0.00385464465194249
chr1	49040000	49050000	chr1	49060000	49070000	0	0	16	31	7.38758116035116	2.00437225797279e-07	0.000659167478992896
chr1	49040000	49050000	chr1	49080000	49090000	0	0	46	33	8.14921290853303	1.8347175749387e-11	1.99997331439772e-07
chr1	49040000	49050000	chr1	49140000	49150000	0	0	48	61	8.60260308507634	1.75486063317728e-13	3.835193610304e-09
chr1	49040000	49050000	chr1	49150000	49160000	0	0	43	28	7.99725618564935	1.6171959961082e-10	1.36168985287535e-06
chr1	49040000	49050000	chr1	49160000	49170000	0	0	39	30	7.95350200481924	3.00769655982658e-10	2.36528336255536e-06
chr1	49040000	49050000	chr1	49250000	49260000	0	0	36	24	7.75497772927169	3.88463410276048e-09	2.22574937683349e-05
chr1	49080000	49090000	chr1	49140000	49150000	0	0	38	28	7.89031814065532	7.5323998247065e-10	5.35547241892132e-06
chr1	49120000	49130000	chr1	49140000	49150000	0	0	36	41	8.10465215219241	3.44416962700807e-11	3.4862877425826e-07
chr1	49140000	49150000	chr1	49160000	49170000	0	0	88	72	9.16287630993595	2.17437152096813e-18	1.38281578569369e-13
chr1	49140000	49150000	chr1	49170000	49180000	0	0	30	20	7.49318019558979	7.17790446834014e-08	0.000277043300829357
chr1	49140000	49150000	chr1	49180000	49190000	0	0	33	34	7.90640958267089	5.66746569217129e-10	4.12570390311723e-06
chr1	49140000	49150000	chr1	49190000	49200000	0	0	71	56	8.83082362788362	2.14890036118868e-15	7.2878570822354e-11
chr1	49140000	49150000	chr1	49250000	49260000	0	0	66	70	8.9242472082294	3.51148764640134e-16	1.42069990552093e-11
chr1	49140000	49150000	chr1	49270000	49280000	0	0	34	19	7.57951670153971	2.72268265114605e-08	0.000120471794368693
chr1	49150000	49160000	chr1	49190000	49200000	0	0	50	48	8.45434645549886	2.49336945647843e-12	3.55431758447631e-08
chr1	49150000	49160000	chr1	49250000	49260000	0	0	49	44	8.38014285697049	4.9261252705519e-13	9.42756679296823e-09
chr1	49160000	49170000	chr1	49180000	49190000	0	0	46	32	8.13139316742465	2.46038320392059e-11	2.60168171230146e-07
chr1	49160000	49170000	chr1	49190000	49200000	0	0	60	51	8.63568018137972	1.00976229460903e-13	2.35239202841211e-09
chr1	49160000	49170000	chr1	49240000	49250000	5	2	35	38	3.00072671110787	7.12745498710998e-06	0.0130313948267688
chr1	49160000	49170000	chr1	49250000	49260000	0	0	47	49	8.42327610762173	3.51366290164783e-12	4.66969472493034e-08
chr1	49170000	49180000	chr1	49190000	49200000	0	0	34	35	7.94868586941367	3.07236884424368e-10	2.39647984497734e-06
chr1	49190000	49200000	chr1	49210000	49220000	0	0	42	56	8.4487647294977	2.56412057518879e-12	3.6167522661456e-08
chr1	49190000	49200000	chr1	49230000	49240000	0	0	33	35	7.92721358015033	4.17938840736347e-10	3.160752972363e-06
chr1	49190000	49200000	chr1	49240000	49250000	6	6	54	73	3.01829799370429	2.24840570572941e-08	0.000102808478586759
chr1	49190000	49200000	chr1	49250000	49260000	0	0	70	85	9.11014908926959	6.37695708471806e-18	3.67257442872416e-13
chr1	49190000	49200000	chr1	49280000	49290000	0	0	31	18	7.46629672965016	9.85848523021616e-08	0.000365371509217971
chr1	49200000	49210000	chr1	49220000	49230000	0	0	53	0	7.60262546892943	2.01453210258097e-08	9.25772708475049e-05
chr1	49200000	49210000	chr1	49240000	49250000	14	4	41	64	2.19627299490213	2.62448233780923e-05	0.0362268733077915
chr1	49210000	49220000	chr1	49240000	49250000	10	7	57	63	2.45355361935909	2.38961277894297e-06	0.00525093146820268
chr1	49220000	49230000	chr1	49240000	49250000	18	17	93	141	2.36814641522208	2.45314593813326e-08	0.0001114778147923
chr1	49220000	49230000	chr1	49250000	49260000	0	0	0	135	8.87920822742461	7.97392973654066e-16	2.96126592813922e-11
chr1	49230000	49240000	chr1	49250000	49260000	0	0	101	92	9.43112666008919	5.8761593408287e-21	6.04793480676045e-16
chr1	49240000	49250000	chr1	49260000	49270000	13	16	69	87	2.04812331903806	8.32641534439236e-06	0.0148874084610003
chr1	49240000	49250000	chr1	49270000	49280000	10	8	68	71	2.58119603743242	2.41009986629514e-07	0.000785410828556074
chr1	49240000	49250000	chr1	49280000	49290000	1	4	48	54	3.92069482494023	6.88568764175876e-09	3.6944233352051e-05
chr1	49250000	49260000	chr1	49270000	49280000	0	14	0	99	2.36090370253737	3.62612428880383e-05	0.0471189452073419
chr1	49250000	49260000	chr1	49280000	49290000	0	0	0	66	7.85179667377376	1.0987073383237e-09	7.34594522040422e-06
chr1	52000000	52010000	chr1	52020000	52030000	0	0	107	132	9.73358021327401	3.42261037992023e-24	6.52994157069184e-19
chr1	52560000	52570000	chr1	52580000	52590000	0	32	0	0	-7.31004561601986	9.55630364153556e-07	0.00248162694192294
chr1	53740000	53750000	chr1	53850000	53860000	0	0	25	37	7.78908750107258	2.73246272880394e-09	1.63981736207602e-05
chr1	54240000	54250000	chr1	54270000	54280000	0	0	26	37	7.8126907351551	1.99583351818227e-09	1.24469330273186e-05
chr1	54360000	54370000	chr1	54380000	54390000	16	0	42	55	2.27612770047997	2.2020212025601e-05	0.0321306731731734
chr1	54380000	54390000	chr1	54400000	54410000	18	0	43	63	2.23625029884724	1.38398147330443e-05	0.0222198407685428
chr1	54800000	54810000	chr1	54820000	54830000	0	0	38	35	8.03152410238756	1.12054262449831e-10	9.96442343191878e-07
chr1	54810000	54820000	chr1	54830000	54840000	0	0	47	0	7.42997913094172	1.40019083974676e-07	0.000489435000729
chr1	55420000	55430000	chr1	55440000	55450000	0	9	38	58	2.98224866554444	1.55764126926824e-06	0.00373130672318618
