axis	evidence	population	settings	treatments	names_entity	authors	title	venue	year	cited	pmid	doi	pmcid	url	local_fulltext	status
core_lph	case_series_or_cohort	unspecified		shunt_or_valve	yes	Cheng Z, Wang W, Han Y, Liu J, Wang Z, Zhou Y, Li F, Huang Y.	Low pressure hydrocephalus: clinical manifestations, radiological characteristics, and treatment	British journal of neurosurgery	2017	9	28264586	10.1080/02688697.2017.1297383		https://pubmed.ncbi.nlm.nih.gov/28264586/		metadata_only
core_lph	case_series	unspecified		subzero_evd;titrated_evd;etv;shunt_or_valve;elastography_imaging	yes	Strand A, Balise S, Leung LJ, Durham S.	Low-Pressure Hydrocephalus: A Case Report and Review of the Literature	World neurosurgery	2018	8	28962963	10.1016/j.wneu.2017.09.120		https://pubmed.ncbi.nlm.nih.gov/28962963/		metadata_only
core_lph	review	mixed			yes	Bergsneider M, Egnor MR, Johnston M, Kranz D, Madsen JR, McAllister JP, Stewart C, Walker ML, Williams MA.	What we don't (but should) know about hydrocephalus	Journal of neurosurgery	2006	31	16572631	10.3171/ped.2006.104.3.157		https://pubmed.ncbi.nlm.nih.gov/16572631/		metadata_only
core_lph	review	unspecified	sah_aneurysm;skull_base_csf_leak;aqueductal_obstructive	subzero_evd;titrated_evd;etv;shunt_or_valve;elastography_imaging	yes	Duan S, Hu J.	Pathogenesis and management of low-pressure hydrocephalus: A narrative review	Journal of the neurological sciences	2024	4	38579413	10.1016/j.jns.2024.122988		https://pubmed.ncbi.nlm.nih.gov/38579413/		metadata_only
core_lph	case_report	adult	skull_base_csf_leak;craniectomy_skin_flap	titrated_evd;shunt_or_valve;csf_leak_repair	yes	Daniel RT, Lee GY, Halcrow SJ.	Low-pressure hydrocephalic state complicating hemispherectomy: a case report	Epilepsia	2002	15	12027920	10.1046/j.1528-1157.2002.46101.x		https://pubmed.ncbi.nlm.nih.gov/12027920/		metadata_only
core_lph	case_report	unspecified	skull_base_csf_leak;infection_inflammatory;shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve	yes	Diaz-Romero Paz R, Avendaño Altimira P, Coloma Valverde G, Balhen Martin C.	A Rare Case of Negative-Pressure Hydrocephalus: A Plausible Explanation and the Role of Transmantle Theory	World neurosurgery	2019	11	30710718	10.1016/j.wneu.2019.01.117		https://pubmed.ncbi.nlm.nih.gov/30710718/		metadata_only
core_lph	case_series_or_cohort	pediatric	tumor_posterior_fossa;shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Galbarriatu L, Rivero-Garvía M, Olivares M, Miranda D, Pomposo I, Márquez-Rivas J.	Low-pressure hydrocephalus: indication for custom-made catheters? Technical report	Acta neurochirurgica	2013	8	23904087	10.1007/s00701-013-1819-5		https://pubmed.ncbi.nlm.nih.gov/23904087/		metadata_only
core_lph	experimental	unspecified	tumor_posterior_fossa;aqueductal_obstructive	shunt_or_valve;icp_monitoring	yes	Egnor M, Yang L, Mani RM, Fiore SM, Djurić PM.	A quantitative model of the cerebral windkessel and its relevance to disorders of intracranial dynamics	Journal of neurosurgery. Pediatrics	2023	8	37382303	10.3171/2023.1.peds22372		https://pubmed.ncbi.nlm.nih.gov/37382303/		metadata_only
core_lph	case_series_or_cohort	mixed		titrated_evd;etv;shunt_or_valve	yes	Hamilton MG, Price AV.	Syndrome of inappropriately low-pressure acute hydrocephalus (SILPAH)	Acta neurochirurgica. Supplement	2012	25	22116443	10.1007/978-3-7091-0923-6_31		https://pubmed.ncbi.nlm.nih.gov/22116443/		metadata_only
core_lph	systematic_review	pediatric	tumor_posterior_fossa;aqueductal_obstructive		yes	Chang SJ, Mitchell R, Hukin J, Singhal A.	Treatment-responsive Holmes tremor in a child with low-pressure hydrocephalus: video case report and systematic review of the literature	Journal of neurosurgery. Pediatrics	2022	2	35148507	10.3171/2021.12.peds21539		https://pubmed.ncbi.nlm.nih.gov/35148507/		metadata_only
core_lph	systematic_review	unspecified	sah_aneurysm;infection_inflammatory;trauma	subzero_evd;titrated_evd;etv;shunt_or_valve;active_pump_shunt;csf_leak_repair	yes	Bakmeedeniya RW, Hedger JS, Purnell MR.	Management of Low/Negative Pressure Hydrocephalus: A Systematic Review of Etiology, Pathophysiology, and Treatment	World neurosurgery	2026	1	41525875	10.1016/j.wneu.2026.124789		https://pubmed.ncbi.nlm.nih.gov/41525875/		metadata_only
core_lph	case_report	unspecified	shunt_dependent_prior	neck_wrapping;positioning;shunt_or_valve;icp_monitoring	yes	Pandey S, Jin Y, Gao L, Zhou CC, Cui DM.	Negative-Pressure Hydrocephalus: A Case Report on Successful Treatment Under Intracranial Pressure Monitoring with Bilateral Ventriculoperitoneal Shunts	World neurosurgery	2017	8	28017745	10.1016/j.wneu.2016.12.049		https://pubmed.ncbi.nlm.nih.gov/28017745/		metadata_only
core_lph	review	unspecified	tumor_posterior_fossa;lumbar_puncture_or_drain;craniectomy_skin_flap	subzero_evd;titrated_evd;neck_wrapping;shunt_or_valve;icp_monitoring;csf_leak_repair	yes	Godoy Hurtado A, Barstchi P, Brea Salvago JF, Al-Ghanem R, Galicia Bulnes JM, El Rubaidi O.	Low- and Negative-Pressure Hydrocephalus: New Report of Six Cases and Literature Review	Journal of clinical medicine	2023	7	37373809	10.3390/jcm12124112	PMC10299038	https://pmc.ncbi.nlm.nih.gov/articles/PMC10299038/	fulltext/godoy_2023_pmid37373809.xml	oa_xml
core_lph	case_report	unspecified	sah_aneurysm;tumor_posterior_fossa;shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Badran A, Shepard MJ, Ksendzovsky A, Murayi R, Hayes C, Smart D, Chittiboina P.	Hemangioblastomatosis-associated negative-pressure hydrocephalus managed with improvised shunt	Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia	2018	5	30287249	10.1016/j.jocn.2018.08.028	PMC7265979	https://pmc.ncbi.nlm.nih.gov/articles/PMC7265979/		oa_unavailable
core_lph	case_report	unspecified		shunt_or_valve	yes	Michael AP, Elkouzi A, Elble RJ.	Pearls & Oy-sters: Low-pressure hydrocephalus and inadequate shunting	Neurology	2017	6	28438849	10.1212/wnl.0000000000003872		https://pubmed.ncbi.nlm.nih.gov/28438849/		metadata_only
core_lph	case_report	pediatric	tumor_posterior_fossa;shunt_dependent_prior	titrated_evd;shunt_or_valve	yes	Preuß M, Evangelou P, Hirsch W, Reiss-Zimmermann M, Fischer L, Merkenschlager A, Kieß W, Siekmeyer M, Meixensberger J, Nestler U.	Acute two-compartment low pressure hydrocephalus--a case report	Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	2013	6	23715811	10.1007/s00381-013-2173-x		https://pubmed.ncbi.nlm.nih.gov/23715811/		metadata_only
core_lph	case_report	adult	shunt_dependent_prior;aqueductal_obstructive	subzero_evd;shunt_or_valve;elastography_imaging	yes	Olivero WC, Wszalek T, Wang H, Farahvar A, Rieth SM, Johnson CL.	Magnetic Resonance Elastography Demonstrating Low Brain Stiffness in a Patient with Low-Pressure Hydrocephalus: Case Report	Pediatric neurosurgery	2016	17	27198914	10.1159/000445900		https://pubmed.ncbi.nlm.nih.gov/27198914/		metadata_only
core_lph	case_series_or_cohort	unspecified	shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve	yes	Hunn BH, Mujic A, Sher I, Dubey AK, Peters-Willke J, Hunn AW.	Successful treatment of negative pressure hydrocephalus using timely titrated external ventricular drainage: a case series	Clinical neurology and neurosurgery	2014	12	24275338	10.1016/j.clineuro.2013.10.019		https://pubmed.ncbi.nlm.nih.gov/24275338/		metadata_only
core_lph	comment_letter	unspecified			yes	Rekate HL.	Low or Negative Pressure Hydrocephalus Demystified	World neurosurgery	2019	6	31103762	10.1016/j.wneu.2019.05.032		https://pubmed.ncbi.nlm.nih.gov/31103762/		metadata_only
core_lph	clinical_or_mechanistic_study	adult		shunt_or_valve	no	McCullough DC, Fox JL.	Negative intracranial pressure hydrocephalus in adults with shunts and its relationship to the production of subdural hematoma	Journal of neurosurgery	1974	77	4813717	10.3171/jns.1974.40.3.0372		https://pubmed.ncbi.nlm.nih.gov/4813717/		metadata_only
core_lph	case_series_or_cohort	adult	aqueductal_obstructive	subzero_evd;titrated_evd;etv;shunt_or_valve	yes	Foster KA, Deibert CP, Choi PA, Gardner PA, Tyler-Kabara EC, Engh JA.	Endoscopic third ventriculostomy as adjunctive therapy in the treatment of low-pressure hydrocephalus in adults	Surgical neurology international	2016	9	27069743	10.4103/2152-7806.178522	PMC4802992	https://pmc.ncbi.nlm.nih.gov/articles/PMC4802992/	fulltext/foster_2016_pmid27069743.xml	oa_xml
core_lph	case_report	unspecified	aqueductal_obstructive	shunt_or_valve	yes	Marianayagam NJ, Shalom NB, Yassin S, Michowiz S, Harnof S, Rajz G.	Paradoxical ventriculomegaly due to low-pressure hydrocephalus, a rare complication of the treatment of a trapped fourth ventricle: Case report	Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia	2017	4	28209310	10.1016/j.jocn.2017.01.017		https://pubmed.ncbi.nlm.nih.gov/28209310/		metadata_only
core_lph	case_series_or_cohort	unspecified	infection_inflammatory	titrated_evd;etv;shunt_or_valve	yes	Casado Pellejero J, Moles Herbera J, Vázquez Sufuentes S, Orduna Martínez J, Rivero Celada D, Fustero de Miguel D.	Acute negative-pressure hydrocephalus: Management algorithm and value of early endoscopic ventriculostomy	Neurocirugia	2022	4	34998487	10.1016/j.neucie.2021.02.003		https://pubmed.ncbi.nlm.nih.gov/34998487/		metadata_only
core_lph	comment_letter	unspecified			yes	Rekate HL.	"Commentary on the article ""Brain stiffness following recovery in a patient with an episode of low-pressure hydrocephalus: case report"""	Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	2021	2	34272587	10.1007/s00381-021-05291-9		https://pubmed.ncbi.nlm.nih.gov/34272587/		metadata_only
core_lph	case_series	mixed	shunt_dependent_prior	shunt_or_valve	no	McCullough DC.	Symptomatic progressive ventriculomegaly in hydrocephalics with patent shunts and antisiphon devices	Neurosurgery	1986	37	3491341	10.1227/00006123-198610000-00019		https://pubmed.ncbi.nlm.nih.gov/3491341/		metadata_only
core_lph	clinical_or_mechanistic_study	unspecified	shunt_dependent_prior	positioning;shunt_or_valve	no	Foltz EL, Blanks JP.	Symptomatic low intracranial pressure in shunted hydrocephalus	Journal of neurosurgery	1988	54	3343612	10.3171/jns.1988.68.3.0401		https://pubmed.ncbi.nlm.nih.gov/3343612/		metadata_only
core_lph	case_series	unspecified	shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve	yes	Trinh VT, Duckworth EA.	Revision to an adjustable non-siphon control valve in low pressure hydrocephalus: therapeutic siphoning and a new perspective on NPH: series of 3 cases and review of the literature	Clinical neurology and neurosurgery	2013	7	22770726	10.1016/j.clineuro.2012.05.017		https://pubmed.ncbi.nlm.nih.gov/22770726/		metadata_only
core_lph	case_series	unspecified		subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Carrera DA, Pajer HB, Patel D, Barkley AS, Botros JA, Spader HS.	Treatment of low-pressure hydrocephalus using a novel shunt valve technique: applying Bernoulli's equation to fluid statics. Technical note	Journal of neurosurgery	2025	0	39951714	10.3171/2024.10.jns232782		https://pubmed.ncbi.nlm.nih.gov/39951714/		metadata_only
core_lph	case_series_or_cohort	pediatric	shunt_dependent_prior	titrated_evd;shunt_or_valve	yes	Datta D, Tu A.	Pediatric low-pressure hydrocephalus: a case series and re-analysis of a rare disease	Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	2025	0	41191101	10.1007/s00381-025-07002-0		https://pubmed.ncbi.nlm.nih.gov/41191101/		metadata_only
core_lph	case_series_or_cohort	pediatric	shunt_dependent_prior;aqueductal_obstructive	titrated_evd;etv;shunt_or_valve	yes	Garg A, Suri A, Chandra PS, Kumar R, Sharma BS, Mahapatra AK.	Endoscopic third ventriculostomy: 5 years' experience at the All India Institute of Medical Sciences	Pediatric neurosurgery	2009	16	19221456	10.1159/000202617		https://pubmed.ncbi.nlm.nih.gov/19221456/		metadata_only
core_lph	case_report	unspecified	sah_aneurysm;infection_inflammatory		yes	Weisbrod L, Davidson C, Gard A, Surdell D.	Low-Pressure Hydrocephalus in Spontaneous Angiogram-Negative Subarachnoid Hemorrhage Following COVID-19 Infection	Cureus	2021	3	34462697	10.7759/cureus.16674	PMC8389884	https://pmc.ncbi.nlm.nih.gov/articles/PMC8389884/	fulltext/weisbrod_2021_pmid34462697.xml	oa_xml
core_lph	consensus_guideline	unspecified	infection_inflammatory;shunt_dependent_prior;aqueductal_obstructive	shunt_or_valve	yes	Chinese Neuroscience Society.	[Consensus on the diagnosis and treatment of low-pressure hydrocephalus(2025 edition)]	Zhonghua wai ke za zhi [Chinese journal of surgery]	2025	1	40734409	10.3760/cma.j.cn112139-20250528-00277		https://pubmed.ncbi.nlm.nih.gov/40734409/		metadata_only
core_lph	experimental	unspecified	aqueductal_obstructive	shunt_or_valve	yes	Egnor M, Shirdel Abdolmaleki N, Ravishankar A, Mani R, Wang Y, Fiore S, Djurić PM.	A model of hydrocephalus due to windkessel impairment caused by subarachnoid space obstruction	Journal of neurosurgery. Pediatrics	2026	1	41791099	10.3171/2025.8.peds24604		https://pubmed.ncbi.nlm.nih.gov/41791099/		metadata_only
core_lph	case_report	unspecified	sah_aneurysm		yes	Solheim O, Vik A, Gulati S, Eide PK.	Rapid and severe rise in static and pulsatile intracranial pressures during a generalized epileptic seizure	Seizure	2008	20	18554932	10.1016/j.seizure.2008.05.006		https://pubmed.ncbi.nlm.nih.gov/18554932/		metadata_only
core_lph	case_report	adult	sah_aneurysm;lumbar_puncture_or_drain	subzero_evd	yes	Ozeki T, Kubota A, Murai Y, Morita A.	Suspected Low-Pressure Hydrocephalus Caused by Spinal Drainage after Subarachnoid Hemorrhage	Journal of Nippon Medical School = Nippon Ika Daigaku zasshi	2022	3	34526456	10.1272/jnms.jnms.2022_89-209		https://pubmed.ncbi.nlm.nih.gov/34526456/		metadata_only
core_lph	comment_letter	pediatric			yes	Smalley ZS, Venable GT, Klimo P.	In Reply: Low-Pressure Hydrocephalus in Children: A Case Series and Review of the Literature	Neurosurgery	2017	2	28973519	10.1093/neuros/nyx333		https://pubmed.ncbi.nlm.nih.gov/28973519/		metadata_only
core_lph	comment_letter	pediatric			yes	Barami K.	Letter: Low-Pressure Hydrocephalus in Children: A Case Series and Review of the Literature	Neurosurgery	2017	2	28973300	10.1093/neuros/nyx332		https://pubmed.ncbi.nlm.nih.gov/28973300/		metadata_only
core_lph	case_report	adult	shunt_dependent_prior	shunt_or_valve;icp_monitoring	yes	Doshi AB, Sarkar H, Shelke Y, Pothare A, Kulkarni A.	Solving a complex, rare, and challenging scenario in a normal pressure hydrocephalus with recurrent shunt dysfunction and multiple revisions - The opposing role of evolving low-pressure hydrocephalus and idiopathic raised intra-abdominal pressure	Surgical neurology international	2022	2	36600762	10.25259/sni_586_2022	PMC9805611	https://pmc.ncbi.nlm.nih.gov/articles/PMC9805611/	fulltext/doshi_2022_pmid36600762.xml	oa_xml
core_lph	case_report	unspecified	sah_aneurysm;skull_base_csf_leak;lumbar_puncture_or_drain;shunt_dependent_prior	subzero_evd;shunt_or_valve;csf_leak_repair	yes	Suzuki T, Kaku S, Karagiozov K, Murayama Y.	Negative-pressure hydrocephalus in the course of a complex postoperative intracranial pressure disturbance: illustrative case	Journal of neurosurgery. Case lessons	2021	2	35854689	10.3171/case206	PMC9236168	https://pmc.ncbi.nlm.nih.gov/articles/PMC9236168/	fulltext/suzuki_2021_pmid35854689.xml	oa_xml
core_lph	case_report	unspecified	infection_inflammatory;shunt_dependent_prior	subzero_evd;titrated_evd;neck_wrapping;etv;shunt_or_valve	yes	Kuppler P, Ditz C, Küchler J, Fieseler K, Kehler U, Leppert J.	Chronic negative-pressure hydrocephalus: management of prolonged subatmospheric drainage failure and treatment approach in persistent ventriculomegaly. Illustrative case	Journal of neurosurgery. Case lessons	2025	1	40030163	10.3171/case24672	PMC11877371	https://pmc.ncbi.nlm.nih.gov/articles/PMC11877371/	fulltext/kuppler_2025_pmid40030163.xml	oa_xml
core_lph	case_report	pediatric		shunt_or_valve	no	Drake JM, da Silva MC, Rutka JT.	Functional obstruction of an antisiphon device by raised tissue capsule pressure	Neurosurgery	1993	22	8421544	10.1227/00006123-199301000-00023		https://pubmed.ncbi.nlm.nih.gov/8421544/		metadata_only
core_lph	case_report	adult	skull_base_csf_leak;infection_inflammatory;shunt_dependent_prior	titrated_evd;shunt_or_valve;csf_leak_repair	yes	Stevens B, Bialek S, Zhao K, Maqusi S, Rassi EE, Tan J, Graffeo CS.	Profound Pneumocephalus and Low-Pressure Hydrocephalus Triggered by Ventriculoperitoneal Shunt Placement after Resection, Fat Graft Reconstruction, and Radiotherapy for a Malignant Skull Base Schwannoma	Journal of neurological surgery reports	2024	1	39220674	10.1055/a-2376-7197	PMC11364467	https://pmc.ncbi.nlm.nih.gov/articles/PMC11364467/	fulltext/stevens_2024_pmid39220674.xml	oa_xml
core_lph	review	unspecified		subzero_evd;titrated_evd	yes	Li G, Lin B, Yang F.	Low-/Negative-Pressure Hydrocephalus: To Understand the Formation Mechanism from the Perspective of Clinicians	Journal of neurological surgery. Part A, Central European neurosurgery	2024	1	38688300	10.1055/s-0044-1785671		https://pubmed.ncbi.nlm.nih.gov/38688300/		metadata_only
core_lph	case_report	unspecified	infection_inflammatory		yes	McGovern RA, Sheehy JP, McKhann GM.	Low pressure hydrocephalus acutely following sepsis and cardiovascular collapse	Clinical neurology and neurosurgery	2013	4	23816322	10.1016/j.clineuro.2013.05.021		https://pubmed.ncbi.nlm.nih.gov/23816322/		metadata_only
core_lph	case_series_or_cohort	adult	shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve	no	Bergsneider M, Peacock WJ, Mazziotta JC, Becker DP.	Beneficial effect of siphoning in treatment of adult hydrocephalus	Archives of neurology	1999	33	10520938	10.1001/archneur.56.10.1224		https://pubmed.ncbi.nlm.nih.gov/10520938/		metadata_only
core_lph	case_series_or_cohort	pediatric		titrated_evd;positioning;shunt_or_valve	yes	Chen B, Zhang Y, Jiang Y, Mei W, Zhang Y.	Low- and negative-pressure hydrocephalus in children, clinical features, treatment, prognosis and proposed mechanisms	Frontiers in pediatrics	2025	0	40538927	10.3389/fped.2025.1602767	PMC12176887	https://pmc.ncbi.nlm.nih.gov/articles/PMC12176887/	fulltext/chen_2025_pmid40538927.xml	oa_xml
core_lph	clinical_or_mechanistic_study	unspecified	skull_base_csf_leak;infection_inflammatory	subzero_evd;titrated_evd;csf_leak_repair;elastography_imaging	yes	Houlden D, Khodorskiy D, Miller-Portman S, Li M.	Importance of Frontal Horn Ratio and Optimal CSF Drainage in the Treatment of Very Low-Pressure Hydrocephalus	Journal of neurological surgery. Part B, Skull base	2018	2	30009119	10.1055/s-0037-1609033	PMC6043177	https://pmc.ncbi.nlm.nih.gov/articles/PMC6043177/		oa_unavailable
core_lph	case_series	pediatric	skull_base_csf_leak;lumbar_puncture_or_drain;shunt_dependent_prior;aqueductal_obstructive	titrated_evd;shunt_or_valve;csf_leak_repair	no	Dias MS, Li V, Pollina J.	Low-pressure shunt 'malfunction' following lumbar puncture in children with shunted obstructive hydrocephalus	Pediatric neurosurgery	1999	26	10352418	10.1159/000028783		https://pubmed.ncbi.nlm.nih.gov/10352418/		metadata_only
core_lph	case_series_or_cohort	unspecified	shunt_dependent_prior	titrated_evd;etv;shunt_or_valve;active_pump_shunt	yes	Villalonga JF, Saenz A, Pailler JI, Castillo AL, Alba MG, Domenico S, Campero A, Cavallo LM, Cinalli G.	Endoscopic Third Ventriculostomy plus Valveless Catheter in the Treatment of Low-Pressure Hydrocephalus	Turkish neurosurgery	2025	0	41165379	10.5137/1019-5149.jtn.47801-24.2		https://pubmed.ncbi.nlm.nih.gov/41165379/		metadata_only
core_lph	case_report	unspecified	shunt_dependent_prior	neck_wrapping;shunt_or_valve;active_pump_shunt	yes	Bruk Y, Drofa A, Kouznetsov E.	Jugular Venous Compression via Soft Cervical Collar in Shunt-Refractory Low-Pressure Hydrocephalus: A Report of Two Cases	Cureus	2026	0	42732439	10.7759/cureus.116100	PMC13570724	https://pmc.ncbi.nlm.nih.gov/articles/PMC13570724/	fulltext/bruk_2026_pmid42732439.xml	oa_xml
core_lph	case_report	adult	tumor_posterior_fossa;trauma		yes	He S, Dai L, Zhan W, Jiang S, Zhou P.	Case Report: Suspected low-pressure hydrocephalus following surgical treatment of traumatic brain injury in a patient with subsequently diagnosed glioblastoma	Frontiers in oncology	2026	0	42444806	10.3389/fonc.2026.1721506	PMC13357208	https://pmc.ncbi.nlm.nih.gov/articles/PMC13357208/	fulltext/he_2026_pmid42444806.xml	oa_xml
