category	authors	title	venue	year	pmid	pmcid	doi	url	local_fulltext	notes
B_mechanism_assays_regulatory	Hofman K et al.	Immunogenicity of Gene and Cell Therapies.	BioDrugs	2026	41518483	PMC13018034	10.1007/s40259-025-00756-8	https://doi.org/10.1007/s40259-025-00756-8	fulltext/hofman_2026_pmid41518483.xml	2026 BioDrugs: immunogenicity of gene and cell therapies (framework incl. redosing)
B_mechanism_assays_regulatory	Day G et al.	Development of a flow cytometry method to measure antidrug antibodies against CAR T cells.	Immunohorizons	2026	42033387	PMC13109846	10.1093/immhor/vlag011	https://doi.org/10.1093/immhor/vlag011	fulltext/day_2026_pmid42033387.xml	2026 ImmunoHorizons: flow-cytometry method to measure anti-drug antibodies against CAR T cells - a practical assay to monitor anti-CAR titres before redosing
B_mechanism_assays_regulatory	Liu X et al.	Epitope mapping of humoral immunogenicity of orvacabtagene autoleucel shows an IgM response with minimal impact on CAR T cellular kinetics.	Mol Ther Adv	2026	42375474	PMC13312103	10.1016/j.omta.2026.201763	https://doi.org/10.1016/j.omta.2026.201763	fulltext/liu_2026_pmid42375474.xml	2026: epitope mapping of humoral immunogenicity of orvacabtagene autoleucel; IgM-dominant response
B_mechanism_assays_regulatory	Fernández N et al.	A roadmap for systematic humanization of a chimeric antigen receptor: preclinical validation of a humanized CD22 scFv as a model.	Exp Hematol	2026	41881100	PMC13289707	10.1016/j.exphem.2026.105424	https://doi.org/10.1016/j.exphem.2026.105424	fulltext/fernndez_2026_pmid41881100.xml	2026 Exp Hematol: roadmap for systematic humanization of a CAR scFv (de-immunization route)
B_mechanism_assays_regulatory	Alfar HR et al.	Clinical evidence of immunogenicity of CAR-T cell therapies and its implication in the clinical development of CAR-T drug products.	Front Immunol	2025	40061940	PMC11885493	10.3389/fimmu.2025.1512494	https://doi.org/10.3389/fimmu.2025.1512494	fulltext/alfar_2025_pmid40061940.xml	2025 Front Immunol: clinical evidence of CAR-T immunogenicity and implications for drug development
B_mechanism_assays_regulatory	Masilamani M et al.	Cellular Immunogenicity Assessments in CAR-T Cell Therapies: Current Insights and Future Directions.	AAPS J	2025	40908464	8923136	10.1208/s12248-025-01129-3	https://doi.org/10.1208/s12248-025-01129-3	fulltext/masilamani_2025_pmid40908464.xml	2025 AAPS J: cellular immunogenicity assessment in CAR-T
B_mechanism_assays_regulatory	Gokemeijer J et al.	An IQ Consortium Perspective on Best Practices for Bioanalytical and Immunogenicity Assessment Aspects of CAR-T and TCR-T Cellular Therapies Development.	Clin Pharmacol Ther	2024	37983584		10.1002/cpt.3111	https://doi.org/10.1002/cpt.3111	not_open_access	IQ Consortium 2024: best practices for bioanalytical/immunogenicity assessment of CAR-T and TCR-T
B_mechanism_assays_regulatory	Mattei AE et al.	In silico methods for immunogenicity risk assessment and human homology screening for therapeutic antibodies.	MAbs	2024	38536724	PMC10978032	10.1080/19420862.2024.2333729	https://doi.org/10.1080/19420862.2024.2333729	fulltext/mattei_2024_pmid38536724.xml	In-silico immunogenicity risk assessment / human homology screening (de-risking the scFv instead of immunosuppressing)
B_mechanism_assays_regulatory	Sauna ZE et al.	Understanding preclinical and clinical immunogenicity risks in novel biotherapeutics development.	Front Immunol	2023	37251396	PMC10213690	10.3389/fimmu.2023.1151888	https://doi.org/10.3389/fimmu.2023.1151888	fulltext/sauna_2023_pmid37251396.xml	2023: preclinical and clinical immunogenicity risk in novel biotherapeutics
B_mechanism_assays_regulatory	Khan AN et al.	Immunogenicity of CAR-T Cell Therapeutics: Evidence, Mechanism and Mitigation.	Front Immunol	2022	35677038	PMC9169153	10.3389/fimmu.2022.886546	https://doi.org/10.3389/fimmu.2022.886546	fulltext/khan_2022_pmid35677038.xml	Xu 2022 Front Immunol: immunogenicity of CAR-T therapeutics - evidence, mechanism and mitigation
B_mechanism_assays_regulatory	Wagner DL et al.	Immunogenicity of CAR T cells in cancer therapy.	Nat Rev Clin Oncol	2021	33633361	PMC8923136	10.1038/s41571-021-00476-2	https://doi.org/10.1038/s41571-021-00476-2	fulltext/wagner_2021_pmid33633361.xml	Wagner 2021 Nat Rev Clin Oncol: 'Immunogenicity of CAR T cells in cancer therapy' - the definitive review of humoral + cellular anti-CAR immunity and mitigation options incl. B-cell depletion
B_mechanism_assays_regulatory	Zinsli LV et al.	Deimmunization of protein therapeutics - Recent advances in experimental and computational epitope prediction and deletion.	Comput Struct Biotechnol J	2021	33425259	PMC7779837	10.1016/j.csbj.2020.12.024	https://doi.org/10.1016/j.csbj.2020.12.024	fulltext/zinsli_2021_pmid33425259.xml	Deimmunization of protein therapeutics: epitope prediction and deletion
B_mechanism_assays_regulatory	Thudium Mueller K et al.	Tisagenlecleucel immunogenicity in relapsed/refractory acute lymphoblastic leukemia and diffuse large B-cell lymphoma.	Blood Adv	2021	34432863	PMC9153050	10.1182/bloodadvances.2020003844	https://doi.org/10.1182/bloodadvances.2020003844	fulltext/thudium_2021_pmid34432863.xml	Tisagenlecleucel immunogenicity in ALL/DLBCL - MECHANISM ONLY (B-cell malignancy; user asked to exclude lymphoma-driven conclusions)
B_mechanism_assays_regulatory	Gazeau N et al.	Effective anti-BCMA retreatment in multiple myeloma.	Blood Adv	2021	34351389	PMC8361465	10.1182/bloodadvances.2021004176	https://doi.org/10.1182/bloodadvances.2021004176	not_open_access	Effective anti-BCMA retreatment in myeloma - retreatment/ADA logic (non-solid; flagged)
B_mechanism_assays_regulatory	Wang D et al.	A phase 1 study of a novel fully human BCMA-targeting CAR (CT103A) in patients with relapsed/refractory multiple myeloma.	Blood	2021	33512480		10.1182/blood.2020008936	https://doi.org/10.1182/blood.2020008936	not_open_access	CT103A fully human BCMA CAR phase 1 - built specifically because murine-scFv ADA blocked retreatment (design alternative to immunosuppression)
B_mechanism_assays_regulatory	Potthoff B et al.	A cell-based immunogenicity assay to detect antibodies against chimeric antigen receptor expressed by tisagenlecleucel.	J Immunol Methods	2020	31678267		10.1016/j.jim.2019.112692	https://doi.org/10.1016/j.jim.2019.112692	not_open_access	Cell-based immunogenicity assay for anti-CAR antibodies (tisagenlecleucel) - assay template
B_mechanism_assays_regulatory	Awasthi R et al.	Tisagenlecleucel cellular kinetics, dose, and immunogenicity in relation to clinical factors in relapsed/refractory DLBCL.	Blood Adv	2020	32045475	PMC7013261	10.1182/bloodadvances.2019000525	https://doi.org/10.1182/bloodadvances.2019000525	not_open_access	Tisagenlecleucel cellular kinetics/immunogenicity in DLBCL - MECHANISM ONLY (lymphoma)
B_mechanism_assays_regulatory	Gorovits B et al.	Immunogenicity of Chimeric Antigen Receptor T-Cell Therapeutics.	BioDrugs	2019	31069709		10.1007/s40259-019-00354-5	https://doi.org/10.1007/s40259-019-00354-5	not_open_access	Gorovits 2019 BioDrugs: immunogenicity of CAR-T therapeutics; assay strategy and clinical consequences
B_mechanism_assays_regulatory	Davda J et al.	Immunogenicity of immunomodulatory, antibody-based, oncology therapeutics.	J Immunother Cancer	2019	30992085	PMC6466770	10.1186/s40425-019-0586-0	https://doi.org/10.1186/s40425-019-0586-0	fulltext/davda_2019_pmid30992085.xml	2019 JITC: immunogenicity of antibody-based oncology therapeutics
B_mechanism_assays_regulatory	Xu J et al.	Exploratory trial of a biepitopic CAR T-targeting B cell maturation antigen in relapsed/refractory multiple myeloma.	Proc Natl Acad Sci U S A	2019	30988175	PMC6510991	10.1073/pnas.1819745116	https://doi.org/10.1073/pnas.1819745116	not_open_access	Biepitopic BCMA CAR: anti-CAR antibody development reported
B_mechanism_assays_regulatory	Salazar-Fontana LI et al.	Approaches to Mitigate the Unwanted Immunogenicity of Therapeutic Proteins during Drug Development.	AAPS J	2017	28083796		10.1208/s12248-016-0030-z	https://doi.org/10.1208/s12248-016-0030-z	not_open_access	2017 AAPS J: approaches to mitigate unwanted immunogenicity of therapeutic proteins (incl. B-cell-directed prophylaxis)
B_mechanism_assays_regulatory	Turtle CJ et al.	CD19 CAR-T cells of defined CD4+:CD8+ composition in adult B cell ALL patients.	J Clin Invest	2016	27111235	PMC4887159	10.1172/JCI85309	https://doi.org/10.1172/JCI85309	fulltext/turtle_2016_pmid27111235.pdf	Turtle 2016 JCI: transgene-specific immune responses in CD19 CAR-T ALL - MECHANISM ONLY (B-ALL)
B_mechanism_assays_regulatory	Song DG et al.	A fully human chimeric antigen receptor with potent activity against cancer cells but reduced risk for off-tumor toxicity.	Oncotarget	2015	26101914	PMC4673284	10.18632/oncotarget.4071	https://doi.org/10.18632/oncotarget.4071	fulltext/song_2015_pmid26101914.xml	Fully human CAR with reduced immunogenicity risk
B_mechanism_assays_regulatory	Lanitis E et al.	Redirected antitumor activity of primary human lymphocytes transduced with a fully human anti-mesothelin chimeric receptor.	Mol Ther	2012	22127019	PMC3293635	10.1038/mt.2011.256	https://doi.org/10.1038/mt.2011.256	not_open_access	Fully human anti-mesothelin chimeric receptor (avoids murine scFv)
B_mechanism_assays_regulatory	Jensen MC et al.	Antitransgene rejection responses contribute to attenuated persistence of adoptively transferred CD20/CD19-specific chimeric antigen receptor redirected T cells in humans.	Biol Blood Marrow Transplant	2010	20304086	PMC3383803	10.1016/j.bbmt.2010.03.014	https://doi.org/10.1016/j.bbmt.2010.03.014	fulltext/jensen_2010_pmid20304086.xml	Jensen 2010: anti-transgene rejection responses limited persistence of CD20/CD19 CAR-T - MECHANISM ONLY (lymphoma), historically the first demonstration in humans
B_mechanism_assays_regulatory	Piasecki JC et al.	Induction of transgene-specific cytotoxic T lymphocyte responses after transplantation of gene-modified CD34+ cells despite nonablative immunosuppressive conditioning.	Hum Gene Ther	2008	18092920		10.1089/hum.2007.086	https://doi.org/10.1089/hum.2007.086	not_open_access	Transgene-specific CTL after gene-modified CD34+ transplant despite nonablative immunosuppression
B_mechanism_assays_regulatory	Berger C et al.	Analysis of transgene-specific immune responses that limit the in vivo persistence of adoptively transferred HSV-TK-modified donor T cells after allogeneic hematopoietic cell transplantation.	Blood	2006	16282341	PMC1895724	10.1182/blood-2005-08-3503	https://doi.org/10.1182/blood-2005-08-3503	not_open_access	Berger 2006 Blood: transgene(HSV-TK)-specific immune responses eliminated adoptively transferred donor T cells - foundational transgene-rejection biology
B_mechanism_assays_regulatory	Berger C et al.	Nonmyeloablative immunosuppressive regimen prolongs In vivo persistence of gene-modified autologous T cells in a nonhuman primate model.	J Virol	2001	11134293	PMC113976	10.1128/JVI.75.2.799-808.2001	https://doi.org/10.1128/JVI.75.2.799-808.2001	not_open_access	Berger/Riddell 2001 J Virol: nonmyeloablative IMMUNOSUPPRESSIVE regimen (CSA/MMF-type) prolonged in-vivo persistence of gene-modified T cells in macaques - proof of principle that host immunosuppression rescues transgene-directed rejection
C_solid_redosing_trials	Shan Y et al.	T-cell receptor-like chimeric antigen receptor T cells targeting mesothelin: A first-in-human dose-escalation trial for platinum-resistant advanced ovarian cancer.	Cancer	2026	41575866	PMC12829732	10.1002/cncr.70279	https://doi.org/10.1002/cncr.70279	fulltext/shan_2026_pmid41575866.xml	2026 Cancer: TCR-like mesothelin CAR-T first-in-human dose escalation in platinum-resistant ovarian cancer
C_solid_redosing_trials	Ronsley R et al.	Intracerebroventricular B7-H3-targeting CAR T cells for non-pontine DMG and recurrent/refractory pediatric CNS tumors: a phase 1 trial.	Neuro Oncol	2026	42503899		10.1093/neuonc/noag171	https://doi.org/10.1093/neuonc/noag171	not_open_access	2026 Neuro-Oncol: ICV B7-H3 CAR-T for non-pontine DMG and other paediatric CNS tumours, repeated dosing
C_solid_redosing_trials	Gao Y et al.	Hypoxia-responsive CEA-targeted CAR T cells in CEA-positive solid tumors through intraperitoneal or intravenous infusion: a phase 1 trial.	Nat Cancer	2026	41760800	4058440	10.1038/s43018-026-01124-3	https://doi.org/10.1038/s43018-026-01124-3	fulltext/gao_2026_pmid41760800.xml	2026 Nat Cancer: hypoxia-responsive CEA CAR-T given IP or IV, phase 1
C_solid_redosing_trials	Liu C et al.	Allogeneic B7-H3-Targeted CAR Vδ1T-cell Therapy in Advanced Solid Tumors: A Phase I Study.	Clin Cancer Res	2026	41779003		10.1158/1078-0432.CCR-25-4600	https://doi.org/10.1158/1078-0432.CCR-25-4600	not_open_access	2026 CCR: allogeneic B7-H3 CAR Vdelta1 T cells in advanced solid tumours (host rejection risk)
C_solid_redosing_trials	Srour SA et al.	Allogeneic CD70-Targeted Chimeric Antigen Receptor T-Cell Therapy for Advanced Renal Cell Carcinoma: Results From the Phase I TRAVERSE Trial.	J Clin Oncol	2026	42447427		10.1200/JCO-26-00388	https://doi.org/10.1200/JCO-26-00388	not_open_access	TRAVERSE 2026 JCO: allogeneic CD70 CAR-T in advanced RCC
C_solid_redosing_trials	Monje M et al.	Intravenous and intracranial GD2-CAR T cells for H3K27M+ diffuse midline gliomas.	Nature	2025	39537919	PMC11735388	10.1038/s41586-024-08171-9	https://doi.org/10.1038/s41586-024-08171-9	fulltext/monje_2025_pmid39537919.xml	Monje 2025 Nature: IV + repeated intracranial GD2 CAR-T in H3K27M DMG (up to many ICV doses per patient)
C_solid_redosing_trials	Vitanza NA et al.	Intracerebroventricular B7-H3-targeting CAR T cells for diffuse intrinsic pontine glioma: a phase 1 trial.	Nat Med	2025	39775044	PMC11922736	10.1038/s41591-024-03451-3	https://doi.org/10.1038/s41591-024-03451-3	fulltext/vitanza_2025_pmid39775044.xml	Vitanza 2025 Nat Med: BrainChild-03 ICV B7-H3 CAR-T in DIPG, repeated dosing
C_solid_redosing_trials	Barish ME et al.	Chlorotoxin-directed CAR T cell therapy for recurrent glioblastoma: Interim clinical experience demonstrating feasibility and safety.	Cell Rep Med	2025	40818458	PMC12432350	10.1016/j.xcrm.2025.102302	https://doi.org/10.1016/j.xcrm.2025.102302	fulltext/barish_2025_pmid40818458.xml	2025 Cell Rep Med: chlorotoxin-directed CAR-T for recurrent GBM, interim clinical experience
C_solid_redosing_trials	Li B et al.	Intraperitoneal infusion of NKG2D CAR-NK cells induces endogenous CD8+ T cell activation in patients with advanced colorectal cancer.	Mol Ther	2025	40437757	PMC12432867	10.1016/j.ymthe.2025.05.026	https://doi.org/10.1016/j.ymthe.2025.05.026	not_open_access	2025 Mol Ther: intraperitoneal NKG2D CAR-NK repeat dosing in colorectal cancer
C_solid_redosing_trials	Begley SL et al.	CAR T cell therapy for glioblastoma: A review of the first decade of clinical trials.	Mol Ther	2025	40057825	PMC12172181	10.1016/j.ymthe.2025.03.004	https://doi.org/10.1016/j.ymthe.2025.03.004	fulltext/begley_2025_pmid40057825.xml	2025 Mol Ther: CAR-T for glioblastoma, first decade of clinical trials
C_solid_redosing_trials	Silbert S et al.	Have CARs stalled for non-B-cell malignancies? Where are we, and where are we going?	Hematology Am Soc Hematol Educ Program	2025	41347986	PMC12891354	10.1182/hematology.2025000733	https://doi.org/10.1182/hematology.2025000733	not_open_access	2025 ASH Education: 'Have CARs stalled for non-B-cell malignancies?'
C_solid_redosing_trials	Dorff TB et al.	PSCA-CAR T cell therapy in metastatic castration-resistant prostate cancer: a phase 1 trial.	Nat Med	2024	38867077	PMC11186768	10.1038/s41591-024-02979-8	https://doi.org/10.1038/s41591-024-02979-8	fulltext/dorff_2024_pmid38867077.xml	Narayan 2024 Nat Med: PSCA CAR-T mCRPC phase 1, redosing cohort
C_solid_redosing_trials	Stein MN et al.	PSCA-targeted BPX-601 CAR T cells with pharmacological activation by rimiducid in metastatic pancreatic and prostate cancer: a phase 1 dose escalation trial.	Nat Commun	2024	39737899	PMC11685978	10.1038/s41467-024-53220-6	https://doi.org/10.1038/s41467-024-53220-6	fulltext/stein_2024_pmid39737899.xml	BPX-601 PSCA CAR-T + rimiducid phase 1 (repeat rimiducid dosing)
C_solid_redosing_trials	Hegde M et al.	Autologous HER2-specific CAR T cells after lymphodepletion for advanced sarcoma: a phase 1 trial.	Nat Cancer	2024	38658775	PMC11588040	10.1038/s43018-024-00749-6	https://doi.org/10.1038/s43018-024-00749-6	fulltext/hegde_2024_pmid38658775.xml	Hegde 2024 Nat Cancer: HER2 CAR-T after lymphodepletion in advanced sarcoma; repeat infusions
C_solid_redosing_trials	Bagley SJ et al.	Repeated peripheral infusions of anti-EGFRvIII CAR T cells in combination with pembrolizumab show no efficacy in glioblastoma: a phase 1 trial.	Nat Cancer	2024	38216766	7433347	10.1038/s43018-023-00709-6	https://doi.org/10.1038/s43018-023-00709-6	fulltext/bagley_2024_pmid38216766.xml	2024 Nat Cancer: repeated peripheral EGFRvIII CAR-T + pembrolizumab in GBM
C_solid_redosing_trials	Pinto N et al.	STRIvE-02: A First-in-Human Phase I Study of Systemically Administered B7-H3 Chimeric Antigen Receptor T Cells for Patients With Relapsed/Refractory Solid Tumors.	J Clin Oncol	2024	39255444		10.1200/JCO.23.02229	https://doi.org/10.1200/JCO.23.02229	not_open_access	STRIvE-02: systemic B7-H3 CAR-T for relapsed/refractory solid tumours
C_solid_redosing_trials	Mackensen A et al.	CLDN6-specific CAR-T cells plus amplifying RNA vaccine in relapsed or refractory solid tumors: the phase 1 BNT211-01 trial.	Nat Med	2023	37872225	PMC10667102	10.1038/s41591-023-02612-0	https://doi.org/10.1038/s41591-023-02612-0	fulltext/mackensen_2023_pmid37872225.xml	BNT211-01: CLDN6 CAR-T + amplifying RNA vaccine (repeat vaccine dosing; anti-CAR relevance)
C_solid_redosing_trials	Majzner RG et al.	GD2-CAR T cell therapy for H3K27M-mutated diffuse midline gliomas.	Nature	2022	35130560	PMC8967714	10.1038/s41586-022-04489-4	https://doi.org/10.1038/s41586-022-04489-4	fulltext/majzner_2022_pmid35130560.xml	Majzner 2022 Nature: GD2 CAR-T for H3K27M DMG, IV priming then repeated intracerebroventricular doses
C_solid_redosing_trials	Brown CE et al.	Off-the-shelf, steroid-resistant, IL13Rα2-specific CAR T cells for treatment of glioblastoma.	Neuro Oncol	2022	35100373	PMC9340633	10.1093/neuonc/noac024	https://doi.org/10.1093/neuonc/noac024	not_open_access	Off-the-shelf steroid-resistant IL13Ralpha2 CAR-T (allogeneic setting - host humoral/cellular rejection risk)
C_solid_redosing_trials	Ghosn M et al.	Image-guided interventional radiological delivery of chimeric antigen receptor (CAR) T cells for pleural malignancies in a phase I/II clinical trial.	Lung Cancer	2022	35045358	PMC9256852	10.1016/j.lungcan.2022.01.003	https://doi.org/10.1016/j.lungcan.2022.01.003	fulltext/ghosn_2022_pmid35045358.xml	Image-guided interventional delivery of CAR-T for pleural malignancies
C_solid_redosing_trials	Vitanza NA et al.	Locoregional infusion of HER2-specific CAR T cells in children and young adults with recurrent or refractory CNS tumors: an interim analysis.	Nat Med	2021	34253928	5482103	10.1038/s41591-021-01404-8	https://doi.org/10.1038/s41591-021-01404-8	not_open_access	Vitanza 2021 Nat Med: locoregional/ICV HER2 CAR-T, weekly repeat dosing in paediatric CNS tumours
C_solid_redosing_trials	Adusumilli PS et al.	A Phase I Trial of Regional Mesothelin-Targeted CAR T-cell Therapy in Patients with Malignant Pleural Disease, in Combination with the Anti-PD-1 Agent Pembrolizumab.	Cancer Discov	2021	34266984	PMC8563385	10.1158/2159-8290.CD-21-0407	https://doi.org/10.1158/2159-8290.CD-21-0407	fulltext/adusumilli_2021_pmid34266984.xml	Adusumilli 2021 Cancer Discov: regional mesothelin CAR-T + pembrolizumab in malignant pleural disease
C_solid_redosing_trials	Katz SC et al.	HITM-SURE: Hepatic immunotherapy for metastases phase Ib anti-CEA CAR-T study utilizing pressure enabled drug delivery.	J Immunother Cancer	2020	32843493	PMC7449487	10.1136/jitc-2020-001097	https://doi.org/10.1136/jitc-2020-001097	fulltext/katz_2020_pmid32843493.xml	HITM-SURE: repeated hepatic-artery anti-CEA CAR-T infusions
C_solid_redosing_trials	Katz SC et al.	HITM-SIR: phase Ib trial of intraarterial chimeric antigen receptor T-cell therapy and selective internal radiation therapy for CEA+ liver metastases.	Cancer Gene Ther	2020	31155611	4048875	10.1038/s41417-019-0104-z	https://doi.org/10.1038/s41417-019-0104-z	fulltext/katz_2020_pmid31155611.xml	HITM-SIR: intraarterial CEA CAR-T + SIRT, repeat dosing
