category	authors	title	venue	year	doi	url	local_pdf	notes
clinical_genomics_tme	Wilson et al.	A comprehensive genomic study of 390 H3F3A-mutant pediatric and adult diffuse high-grade gliomas, CNS WHO grade 4	Acta Neuropathologica	2023	10.1007/s00401-023-02609-6	https://pmc.ncbi.nlm.nih.gov/articles/PMC10412483/	pdfs/wilson_2023_390_h3f3a_mutant_gliomas.pdf	Large H3F3A-mutant genomic cohort
clinical_genomics_tme	The clinical and molecular landscape of diffuse hemispheric glioma, H3 G34-mutant	The clinical and molecular landscape of diffuse hemispheric glioma, H3 G34-mutant	Acta Neuropathologica	2025	unknown	https://pubmed.ncbi.nlm.nih.gov/39842935/	no_open_pdf_added	114 DHG-H3G34 cohort; TP53/ATRX, CDKN2A/B, PDGFRA/EGFR/CCND2/MYCN, MGMT, survival
clinical_genomics_tme	Tlais et al.	Pediatric H3 G34-mutant diffuse hemispheric glioma: clinical, imaging and molecular prognostic factors, MGMT expression, and temozolomide response	Acta Neuropathologica	2026	10.1007/s00401-026-02992-w	https://doi.org/10.1007/s00401-026-02992-w	pdf_download_blocked; see URL	Pediatric clinical/imaging/MGMT/TMZ response study
review	Tang et al.	A scoping review of diffuse hemispheric glioma, H3 G34-mutant: epigenetic and molecular profiles, clinicopathology, and treatment avenues	Neuro-Oncology Advances	2024	10.1093/noajnl/vdae208	https://pmc.ncbi.nlm.nih.gov/articles/PMC11697104/	pdfs/tang_2024_h3g34_scoping_review.pdf	Broad scoping review of 220 studies
review	Bonada et al.	Pediatric Hemispheric High-Grade Gliomas and H3.3-G34 Mutation: A Review of the Literature on Biological Features and New Therapeutic Strategies	Genes	2024	10.3390/genes15081038	https://pmc.ncbi.nlm.nih.gov/articles/PMC11353413/	pdfs/bonada_2024_pediatric_h3g34_review.pdf	Review of biology, immune interactions, therapies
review	Nguyen et al.	H3G34-Mutant Gliomas-A Review of Molecular Pathogenesis and Therapeutic Options	Biomedicines	2023	10.3390/biomedicines11072002	https://pmc.ncbi.nlm.nih.gov/articles/PMC10377039/	pdfs/nguyen_2023_h3g34_review.pdf	Review of pathogenesis, diagnosis, treatment, outcomes
review	Crowell et al.	A review of diffuse hemispheric glioma, H3 G34-mutant disease development, DNA repair, microenvironment, and treatments on the horizon	npj Precision Oncology	2025	10.1038/s41698-025-01070-w	https://www.nature.com/articles/s41698-025-01070-w	pdf_download_blocked; see URL	NIH symposium-informed review
broader_method_reference	Neftel et al.	An integrative model of cellular states, plasticity, and genetics for glioblastoma	Cell	2019	10.1016/j.cell.2019.06.024	https://pubmed.ncbi.nlm.nih.gov/31327527/	no_open_pdf_added	Adult GBM AC/OPC/NPC/MES reference
broader_method_reference	Filbin et al.	Developmental and oncogenic programs in H3K27M gliomas dissected by single-cell RNA-seq	Science	2018	10.1126/science.aao4750	https://pubmed.ncbi.nlm.nih.gov/29674595/	no_open_pdf_added	Pediatric histone-mutant scRNA comparator
broader_method_reference	Sussman et al.	A longitudinal multiomic atlas of pediatric high-grade glioma	bioRxiv/PMC	2024	10.1101/2024.03.01.581105	https://pmc.ncbi.nlm.nih.gov/articles/PMC10942465/	pdfs/sussman_2024_longitudinal_phgg_atlas.pdf	Primary/recurrent pHGG multiomic atlas
broader_method_reference	SCEVAN authors	Automatic discovery of malignant cell subpopulations from single-cell RNA-seq data	Nature Communications	2023	10.1038/s41467-023-36790-9	https://www.nature.com/articles/s41467-023-36790-9	no_open_pdf_added	CNV/subclone inference from scRNA
